Track Name,Artist,Spotify URL,Listeners,Play Count,Album,Tags,Album Cover
Basti Ka Hasti,MC STAN,https://open.spotify.com/track/3k9PtGmPNnQtt32TKWm6f3,6534,45847,Insaan,,https://i.scdn.co/image/ab67616d0000b273f7affe5c21190981d9ac6b62
Shana Bann,MC STAN,https://open.spotify.com/track/5ZTsPwtt7aCuzbWd5rDGys,3334,27450,Shana Bann,,https://i.scdn.co/image/ab67616d0000b2738af148e62fcca1a7741976b8
Snake,MC STAN,https://open.spotify.com/track/0MYof8K1RPjc1Htnr7CDa6,3041,23526,Snake,,https://i.scdn.co/image/ab67616d0000b27349f667c7824abfc6791398e0
Bitch,MC STAN,https://open.spotify.com/track/3Blsc8iWj4LLgnCe0DhnU0,2190,23316,Insaan,,https://i.scdn.co/image/ab67616d0000b273f7affe5c21190981d9ac6b62
Ek Din Pyaar,MC STAN,https://open.spotify.com/track/0uk9sQ7MjK0CdAUinD4xBV,7155,58069,Tadipaar,,https://i.scdn.co/image/ab67616d0000b2736cec8bf8302ee175e429c9c1
Numberkari,MC STAN,https://open.spotify.com/track/7bACuq4Lv8inFcK5rX36O6,1482,10781,Numberkari - Single,,https://i.scdn.co/image/ab67616d0000b2736cec8bf8302ee175e429c9c1
Dooriyan (feat. Kaprila),Dino James,https://open.spotify.com/track/4nKc9yiwXWlEByq1oMfHU6,5148,38329,Dooriyan (feat. Kaprila) - Single,Hindi,https://i.scdn.co/image/ab67616d0000b273d2b246039072d2e39914e352
Wishlist (feat. Kaprila),Dino James,https://open.spotify.com/track/39m83gjG1lNr7Un0dJndFw,3586,23077,Wishlist (feat. Kaprila) - Single,,https://i.scdn.co/image/ab67616d0000b273e98e528e204c9ce06547fbfb
Pyaar Pyaar,Dino James,https://open.spotify.com/track/7cMJin9pGEH4MHVWcDytHg,1091,9501,D,,https://i.scdn.co/image/ab67616d0000b273bf1744a2fefe51f199ff3874
Lost,Dino James,https://open.spotify.com/track/7wSjGKRzJ1qEOd8ya3XP6G,1589,10941,Lost,,https://i.scdn.co/image/ab67616d0000b273bf1744a2fefe51f199ff3874
Unstoppable,Dino James,https://open.spotify.com/track/6CYtjAHaY3lznJRMJCCPTC,1707,10645,Unstoppable - Single,,https://i.scdn.co/image/ab67616d0000b273f75e34bc469c79bae4a8d4ee
Tandav,Dino James,https://open.spotify.com/track/4wmzHlPnLkljS6mnCAsqoO,682,3112,Unknown Album,,https://i.scdn.co/image/ab67616d0000b27335585dfc08b0f7fda1edba76
Vainko,Brodha V,https://open.spotify.com/track/1nLdzIq6U8wavefMS1fou7,3331,21048,Vainko - Single,,https://i.scdn.co/image/ab67616d0000b27391a97523b77900c64acb50db
Aigiri Nandini,Brodha V,https://open.spotify.com/track/7vtxjntbaD9P9hsF78OkPz,4220,30985,Aigiri Nandini - Single,,https://i.scdn.co/image/ab67616d0000b27339aca27e8d5bdb83cf587ebe
,,https://open.spotify.com/track/6HYv7aGsZ31xu3IVx3Lrfe,N/A,N/A,Unknown Album,,
