track name,artist,spotify url,listeners,playcount,album,tags,album cover
Basti Ka Hasti,MC STAN,https://open.spotify.com/track/3k9PtGmPNnQtt32TKWm6f3,0.0018931662031297218,0.0008405948089718182,Insaan,,https://i.scdn.co/image/ab67616d0000b273f7affe5c21190981d9ac6b62
Shana Bann,MC STAN,https://open.spotify.com/track/5ZTsPwtt7aCuzbWd5rDGys,0.000965995733277394,0.0005032898009962792,Shana Bann,,https://i.scdn.co/image/ab67616d0000b2738af148e62fcca1a7741976b8
Snake,MC STAN,https://open.spotify.com/track/0MYof8K1RPjc1Htnr7CDa6,0.0008811016871315403,0.0004313441114112373,Snake,,https://i.scdn.co/image/ab67616d0000b27349f667c7824abfc6791398e0
Bitch,MC STAN,https://open.spotify.com/track/3Blsc8iWj4LLgnCe0DhnU0,0.0006345322903051868,0.0004274938069227411,Insaan,,https://i.scdn.co/image/ab67616d0000b273f7affe5c21190981d9ac6b62
Ek Din Pyaar,MC STAN,https://open.spotify.com/track/0uk9sQ7MjK0CdAUinD4xBV,0.002073095222435439,0.0010646825302022926,Tadipaar,,https://i.scdn.co/image/ab67616d0000b2736cec8bf8302ee175e429c9c1
Numberkari,MC STAN,https://open.spotify.com/track/7bACuq4Lv8inFcK5rX36O6,0.0004293958238503593,0.00019766729852607962,Numberkari - Single,,https://i.scdn.co/image/ab67616d0000b2736cec8bf8302ee175e429c9c1
Dooriyan (feat. Kaprila),Dino James,https://open.spotify.com/track/4nKc9yiwXWlEByq1oMfHU6,0.0014915854933749324,0.0007027539082836569,Dooriyan (feat. Kaprila) - Single,Hindi,https://i.scdn.co/image/ab67616d0000b273d2b246039072d2e39914e352
Wishlist (feat. Kaprila),Dino James,https://open.spotify.com/track/39m83gjG1lNr7Un0dJndFw,0.0010390104077782649,0.000423111793719167,Wishlist (feat. Kaprila) - Single,,https://i.scdn.co/image/ab67616d0000b273e98e528e204c9ce06547fbfb
Pyaar Pyaar,Dino James,https://open.spotify.com/track/7cMJin9pGEH4MHVWcDytHg,0.000316107182065278,0.0001741987759295318,D,,https://i.scdn.co/image/ab67616d0000b273bf1744a2fefe51f199ff3874
Lost,Dino James,https://open.spotify.com/track/7wSjGKRzJ1qEOd8ya3XP6G,0.0004603980864360465,0.0002006008638506481,Lost,,https://i.scdn.co/image/ab67616d0000b273bf1744a2fefe51f199ff3874
Unstoppable,Dino James,https://open.spotify.com/track/6CYtjAHaY3lznJRMJCCPTC,0.000494587497511851,0.0001951737680001964,Unstoppable - Single,,https://i.scdn.co/image/ab67616d0000b273f75e34bc469c79bae4a8d4ee
Tandav,Dino James,https://open.spotify.com/track/4wmzHlPnLkljS6mnCAsqoO,0.00019760320638727736,5.7057845562856854e-05,Unknown Album,,https://i.scdn.co/image/ab67616d0000b27335585dfc08b0f7fda1edba76
Vainko,Brodha V,https://open.spotify.com/track/1nLdzIq6U8wavefMS1fou7,0.0009651265109619074,0.000385910518446983,Vainko - Single,,https://i.scdn.co/image/ab67616d0000b27391a97523b77900c64acb50db
Aigiri Nandini,Brodha V,https://open.spotify.com/track/7vtxjntbaD9P9hsF78OkPz,0.0012227060571177572,0.0005681032598859639,Aigiri Nandini - Single,,https://i.scdn.co/image/ab67616d0000b27339aca27e8d5bdb83cf587ebe
,,https://open.spotify.com/track/6HYv7aGsZ31xu3IVx3Lrfe,0.0,0.0,Unknown Album,,
Forever,Brodha V,https://open.spotify.com/track/3K9TE5e2ARmNsJKH5CNBmx,0.00022744650588564917,7.30641113650336e-05,Forever,,https://i.scdn.co/image/ab67616d0000b273d24bc684892c3a4c57e5740b
